id,メーカー,車種,自動車タイプ,ボディタイプ,駆動方式,価格帯(万円),排気量(cc),最新モデル,グレード・モデル,先進安全装備,燃費(km/L)電費(Wh/km)水素燃費(km/kg),燃料の種類,自動車税(円),乗車定員,中古相場(万円),サイズ(mm)
282,HONDA,CIVIC,普通車,ハッチバック,2WD(MT),3544200~4403300,1496,2025_01,RS,HONDA SENSING,15.3,ハイオク,36000,5,222~688,4560×1800×1410
283,HONDA,CIVIC,普通車,ハッチバック,2WD(MT),6179800~6179800,1995,2025_01,TYPE R,HONDA SENSING,12.5,ハイオク,36000,4,222~688,4595×1890×1405
284,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV BASIC,HONDA SENSING,30.2,レギュラー (HEV),30500,5,88~305,3995×1695×1540
285,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,e:HEV BASIC,HONDA SENSING,27.1,レギュラー (HEV),30500,5,88~305,3995×1695×1570
286,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV HOME,HONDA SENSING,28.6,レギュラー (HEV),30500,5,88~305,3995×1695×1540
287,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,e:HEV HOME,HONDA SENSING,26.2,レギュラー (HEV),30500,5,88~305,3995×1695×1570
288,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV HOME BLACK STYLE,HONDA SENSING,28.6,レギュラー (HEV),30500,5,88~305,3995×1695×1540
289,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,e:HEV HOME BLACK STYLE,HONDA SENSING,26.2,レギュラー (HEV),30500,5,88~305,3995×1695×1570
290,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV RS,HONDA SENSING,27.2,レギュラー (HEV),30500,5,88~305,4080×1695×1540
291,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV CROSSTAR,HONDA SENSING,27.2,レギュラー (HEV),30500,5,88~305,4095×1725×1540
292,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,e:HEV CROSSTAR,HONDA SENSING,25.4,レギュラー (HEV),30500,5,88~305,4095×1725×1570
293,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,e:HEV LUXE,HONDA SENSING,25.4,レギュラー (HEV),30500,5,88~305,3995×1695×1540
294,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,e:HEV LUXE,HONDA SENSING,23.5,レギュラー (HEV),30500,5,88~305,3995×1695×1570
295,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,BASIC,HONDA SENSING,18.7,レギュラー,30500,5,88~305,3995×1695×1540
296,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,BASIC,HONDA SENSING,16.6,レギュラー,30500,5,88~305,3995×1695×1570
297,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,HOME,HONDA SENSING,18.7,レギュラー,30500,5,88~305,3995×1695×1540
298,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,HOME,HONDA SENSING,16.6,レギュラー,30500,5,88~305,3995×1695×1570
299,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,HOME BLACK STYLE,HONDA SENSING,18.7,レギュラー,30500,5,88~305,3995×1695×1540
300,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,HOME BLACK STYLE,HONDA SENSING,16.6,レギュラー,30500,5,88~305,3995×1695×1570
301,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,RS,HONDA SENSING,17.9,レギュラー,30500,5,88~305,4080×1695×1540
302,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,CROSSTAR,HONDA SENSING,17.6,レギュラー,30500,5,88~305,4095×1725×1540
303,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,CROSSTAR,HONDA SENSING,16.1,レギュラー,30500,5,88~305,4095×1725×1570
304,HONDA,FIT,普通車,ハッチバック,2WD,1776500~2929300,1496,2025_07,LUXE,HONDA SENSING,17.9,レギュラー,30500,5,88~305,3995×1695×1540
305,HONDA,FIT,普通車,ハッチバック,4WD,1776500~2929300,1496,2025_07,LUXE,HONDA SENSING,16,レギュラー,30500,5,88~305,3995×1695×1570
306,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,e:HEV AIR,HONDA SENSING,25.4,レギュラー (HEV),30500,6,239~535,4310×1695×1755
307,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,e:HEV AIR,HONDA SENSING,21.2,レギュラー (HEV),30500,5,239~535,4310×1695×1780
308,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,e:HEV AIR EX,HONDA SENSING,25.6,レギュラー (HEV),30500,6,239~535,4310×1695×1755
309,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,e:HEV AIR EX,HONDA SENSING,21.3,レギュラー (HEV),30500,6,239~535,4310×1695×1780
310,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,e:HEV CROSSTAR,HONDA SENSING,25.3,レギュラー (HEV),30500,6,239~535,4310×1720×1755
311,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,e:HEV CROSSTAR,HONDA SENSING,21.1,レギュラー (HEV),30500,5,239~535,4310×1720×1780
312,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,e:HEV スロープ,HONDA SENSING,25,レギュラー (HEV),30500,7,239~535,4310×1695×1755
313,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,e:HEV スロープ,HONDA SENSING,21.3,レギュラー (HEV),30500,7,239~535,4310×1695×1780
314,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,AIR,HONDA SENSING,16.3,レギュラー,30500,6,239~535,4310×1695×1755
315,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,AIR,HONDA SENSING,14.4,レギュラー,30500,5,239~535,4310×1695×1780
316,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,AIR EX,HONDA SENSING,16.4,レギュラー,30500,6,239~535,4310×1695×1755
317,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,AIR EX,HONDA SENSING,14.4,レギュラー,30500,6,239~535,4310×1695×1780
318,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,CROSSTAR,HONDA SENSING,16.5,レギュラー,30500,6,239~535,4310×1720×1755
319,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,CROSSTAR,HONDA SENSING,14.4,レギュラー,30500,5,239~535,4310×1720×1780
320,HONDA,FREED,普通車,ミニバン,2WD,2623500~3602500,1496,2025_01,スロープ,HONDA SENSING,16.4,レギュラー,30500,7,239~535,4310×1695×1755
321,HONDA,FREED,普通車,ミニバン,4WD,2623500~3602500,1496,2025_01,スロープ,HONDA SENSING,14.4,レギュラー,30500,7,239~535,4310×1695×1780
322,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX(ベース),HONDA SENSING,21.6,レギュラー,10800,4,108~256,3395×1475×1790
323,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX(ベース),HONDA SENSING,19.4,レギュラー,10800,4,108~256,3395×1475×1815
324,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX スロープ,HONDA SENSING,21.1,レギュラー,10800,4,108~256,3395×1475×1790
325,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX スロープ,HONDA SENSING,19.1,レギュラー,10800,4,108~256,3395×1475×1815
326,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX CUSTOM,HONDA SENSING,21.5,レギュラー,10800,4,108~256,3395×1475×1790
327,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX CUSTOM,HONDA SENSING,19.4,レギュラー,10800,4,108~256,3395×1475×1815
328,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX CUSTOM ターボ,HONDA SENSING,20.3,レギュラー,10800,4,108~256,3395×1475×1790
329,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX CUSTOM ターボ,HONDA SENSING,18.4,レギュラー,10800,4,108~256,3395×1475×1815
330,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX CUSTOM ターボ スロープ,HONDA SENSING,21.1,レギュラー,10800,4,108~256,3395×1475×1790
331,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX CUSTOM ターボ スロープ,HONDA SENSING,19,レギュラー,10800,4,108~256,3395×1475×1815
332,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX JOY,HONDA SENSING,21.3,レギュラー,10800,4,108~256,3395×1475×1790
333,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX JOY,HONDA SENSING,19.3,レギュラー,10800,4,108~256,3395×1475×1815
334,HONDA,N-BOX,軽自動車,ハイトワゴン,2WD,1739100~2475000,658,2025_10,N-BOX JOY ターボ,HONDA SENSING,20.2,レギュラー,10800,4,108~256,3395×1475×1790
335,HONDA,N-BOX,軽自動車,ハイトワゴン,4WD,1739100~2475000,658,2025_10,N-BOX JOY ターボ,HONDA SENSING,18.4,レギュラー,10800,4,108~256,3395×1475×1815
336,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD,1767700~2318800,658,2025_11,Original,HONDA SENSING,23,レギュラー,10800,4,74~285,3395×1475×1545
337,HONDA,N-ONE,軽自動車,ハイトワゴン,4WD,1767700~2318800,658,2025_11,Original,HONDA SENSING,21,レギュラー,10800,4,74~285,3395×1475×1570
338,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD,1767700~2318800,658,2025_11,Premium,HONDA SENSING,23,レギュラー,10800,4,74~285,3395×1475×1545
339,HONDA,N-ONE,軽自動車,ハイトワゴン,4WD,1767700~2318800,658,2025_11,Premium,HONDA SENSING,21.8,レギュラー,10800,4,74~285,3395×1475×1570
340,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD,1767700~2318800,658,2025_11,Premium Tourer,HONDA SENSING,22.5,レギュラー,10800,4,74~285,3395×1475×1545
341,HONDA,N-ONE,軽自動車,ハイトワゴン,4WD,1767700~2318800,658,2025_11,Premium Tourer,HONDA SENSING,20.8,レギュラー,10800,4,74~285,3395×1475×1570
342,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD,1767700~2318800,658,2025_11,STYLE+ URBAN,HONDA SENSING,23,レギュラー,10800,4,74~285,3395×1475×1545
343,HONDA,N-ONE,軽自動車,ハイトワゴン,4WD,1767700~2318800,658,2025_11,STYLE+ URBAN,HONDA SENSING,21.8,レギュラー,10800,4,74~285,3395×1475×1570
344,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD(MT),1767700~2318800,658,2025_11,RS,HONDA SENSING,21.6,レギュラー,10800,4,74~285,3395×1475×1545
345,HONDA,N-ONE,軽自動車,ハイトワゴン,2WD,1767700~2318800,658,2025_11,RS,HONDA SENSING,22.5,レギュラー,10800,4,74~285,3395×1475×1545
346,HONDA,N-ONE,軽自動車,ハイトワゴン,4WD,1767700~2318800,658,2025_11,RS,HONDA SENSING,20.8,レギュラー,10800,4,74~285,3395×1475×1570
347,HONDA,N-ONE e:,軽自動車,ハイトワゴン,2WD,2699400~3198800,-,2025_20,e: G,HONDA SENSING,105,電気 (BEV),10800,4,290~333,3395×1475×1545
348,HONDA,N-ONE e:,軽自動車,ハイトワゴン,2WD,2699400~3198800,-,2025_21,e: L,HONDA SENSING,105,電気 (BEV),10800,4,290~333,3395×1475×1545
349,HONDA,N-VAN e:,軽自動車,バン/トラック,2WD,2699400~2919400,-,2024_10,e: G,HONDA SENSING,127,電気 (BEV),10800,1,39~503,3395×1475×1950
350,HONDA,N-VAN e:,軽自動車,バン/トラック,2WD,2699400~2919400,-,2024_10,e: L2,HONDA SENSING,127,電気 (BEV),10800,2,39~503,3395×1475×1960
351,HONDA,N-VAN e:,軽自動車,バン/トラック,2WD,2699400~2919400,-,2024_10,e: L4,HONDA SENSING,127,電気 (BEV),10800,4,39~503,3395×1475×1960
352,HONDA,N-VAN e:,軽自動車,バン/トラック,2WD,2699400~2919400,-,2024_10,e: FUN,HONDA SENSING,127,電気 (BEV),10800,4,39~503,3395×1475×1960
353,HONDA,N-VAN,軽自動車,バン/トラック,2WD,1392600~2092200,658,2025_05,G,HONDA SENSING,19.2,レギュラー,10800,4,39~503,3395×1475×1945
354,HONDA,N-VAN,軽自動車,バン/トラック,4WD,1392600~2092200,658,2025_05,G,HONDA SENSING,17.4,レギュラー,10800,4,39~503,3395×1475×1960
355,HONDA,N-VAN,軽自動車,バン/トラック,2WD,1392600~2092200,658,2025_05,L,HONDA SENSING,19.2,レギュラー,10800,4,39~503,3395×1475×1945
356,HONDA,N-VAN,軽自動車,バン/トラック,4WD,1392600~2092200,658,2025_05,L,HONDA SENSING,17.4,レギュラー,10800,4,39~503,3395×1475×1960
357,HONDA,N-VAN,軽自動車,バン/トラック,2WD,1392600~2092200,658,2025_05,FUN,HONDA SENSING,19.2,レギュラー,10800,4,39~503,3395×1475×1945
358,HONDA,N-VAN,軽自動車,バン/トラック,4WD,1392600~2092200,658,2025_05,FUN,HONDA SENSING,17.4,レギュラー,10800,4,39~503,3395×1475×1960
359,HONDA,N-VAN,軽自動車,バン/トラック,2WD,1392600~2092200,658,2025_05,STYLE+ NATURE,HONDA SENSING,19.2,レギュラー,10800,4,39~503,3395×1475×1945
360,HONDA,N-VAN,軽自動車,バン/トラック,4WD,1392600~2092200,658,2025_05,STYLE+ NATURE,HONDA SENSING,17.4,レギュラー,10800,4,39~503,3395×1475×1960
361,HONDA,N-VAN,軽自動車,バン/トラック,2WD,1392600~2092200,658,2025_05,FUN・ターボ,HONDA SENSING,18.8,レギュラー,10800,4,39~503,3395×1475×1945
362,HONDA,N-VAN,軽自動車,バン/トラック,4WD,1392600~2092200,658,2025_05,FUN・ターボ,HONDA SENSING,17,レギュラー,10800,4,39~503,3395×1475×1960
363,HONDA,N-VAN,軽自動車,バン/トラック,2WD(MT),1392600~2092200,658,2025_05,MTモデル,HONDA SENSING,18.6,レギュラー,10800,2,39~503,3395×1475×1945
364,HONDA,N-VAN,軽自動車,バン/トラック,4WD(MT),1392600~2092200,658,2025_05,MTモデル,HONDA SENSING,17.6,レギュラー,10800,2,39~503,3395×1475×1960
365,HONDA,N-WGN,軽自動車,ハイトワゴン,2WD,1576300~2124100,658,2024_07,L,HONDA SENSING,23,レギュラー,10800,4,49~218,3395×1475×1675
366,HONDA,N-WGN,軽自動車,ハイトワゴン,4WD,1576300~2124100,658,2024_07,L,HONDA SENSING,20.7,レギュラー,10800,4,49~218,3395×1475×1695
367,HONDA,N-WGN,軽自動車,ハイトワゴン,2WD,1576300~2124100,658,2024_07,L・ターボ,HONDA SENSING,21.7,レギュラー,10800,4,49~218,3395×1475×1675
368,HONDA,N-WGN,軽自動車,ハイトワゴン,4WD,1576300~2124100,658,2024_07,L・ターボ,HONDA SENSING,19.5,レギュラー,10800,4,49~218,3395×1475×1695
369,HONDA,N-WGN,軽自動車,ハイトワゴン,2WD,1576300~2124100,658,2024_07,N-WGN CUSTOM L,HONDA SENSING,23.1,レギュラー,10800,4,49~218,3395×1475×1705
370,HONDA,N-WGN,軽自動車,ハイトワゴン,4WD,1576300~2124100,658,2024_07,N-WGN CUSTOM L,HONDA SENSING,20.6,レギュラー,10800,4,49~218,3395×1475×1725
371,HONDA,N-WGN,軽自動車,ハイトワゴン,2WD,1576300~2124100,658,2024_07,N-WGN CUSTOM L・ターボ,HONDA SENSING,21.7,レギュラー,10800,4,49~218,3395×1475×1705
372,HONDA,N-WGN,軽自動車,ハイトワゴン,4WD,1576300~2124100,658,2024_07,N-WGN CUSTOM L・ターボ,HONDA SENSING,19.5,レギュラー,10800,4,49~218,3395×1475×1725
373,HONDA,N-WGN,軽自動車,ハイトワゴン,2WD,1576300~2124100,658,2024_07,L 助手席回転シート車,HONDA SENSING,23,レギュラー,10800,4,49~218,3395×1475×1675
374,HONDA,N-WGN,軽自動車,ハイトワゴン,4WD,1576300~2124100,658,2024_07,L 助手席回転シート車,HONDA SENSING,20.7,レギュラー,10800,4,49~218,3395×1475×1695
375,HONDA,ODYSSEY,普通車,ミニバン,2WD,5086400~5450500,1993,2025_11,e:HEV ABSOLUTE,HONDA SENSING,19.9,レギュラー (HEV),36000,7,35~568,4860×1820×1695
376,HONDA,ODYSSEY,普通車,ミニバン,2WD,5086400~5450500,1993,2025_12,e:HEV ABSOLUTE-EX,HONDA SENSING,19.9,レギュラー (HEV),36000,7,35~568,4860×1820×1695
377,HONDA,ODYSSEY,普通車,ミニバン,2WD,5086400~5450500,1993,2025_13,e:HEV ABSOLUTE EX BLACK EDITION,HONDA SENSING,19.6,レギュラー (HEV),36000,7,35~568,4860×1820×1695
378,HONDA,Prelude,普通車,クーペ,2WD,6179800~6179800,1993,2025_09,e:HEV,HONDA SENSING,23.6,レギュラー (HEV),36000,4,685~698,4520×1880×1355
379,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV AIR EX,HONDA SENSING,19.8,レギュラー (HEV),36000,7,258~595,4800×1750×1840
380,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV SPADA,HONDA SENSING,19.5,レギュラー (HEV),36000,7,258~595,4830×1750×1840
381,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV PREMIUM LINE,HONDA SENSING,19.6,レギュラー (HEV),36000,7,258~595,4830×1750×1845
382,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV PREMIUM LINE BLACK EDITION,HONDA SENSING,19.6,レギュラー (HEV),36000,7,258~595,4830×1750×1845
383,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV スロープ SPADA 2列目,HONDA SENSING,19.5,レギュラー (HEV),36000,7,258~595,4830×1750×1840
384,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV スロープ SPADA 3列目,HONDA SENSING,19.6,レギュラー (HEV),36000,7,258~595,4830×1750×1840
385,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV スロープ SPADA 2・3列目,HONDA SENSING,19.5,レギュラー (HEV),36000,7,258~595,4830×1750×1840
386,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1993,2025_05,e:HEV リフトアップシート SPADA,HONDA SENSING,19.6,レギュラー (HEV),36000,7,258~595,4830×1750×1845
387,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,AIR,HONDA SENSING,13.1,レギュラー,30500,7,258~595,4800×1750×1840
388,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,AIR,HONDA SENSING,13.1,レギュラー,30500,8,258~595,4800×1750×1840
389,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,AIR,HONDA SENSING,12.5,レギュラー,30500,7,258~595,4800×1750×1855
390,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,AIR,HONDA SENSING,12.5,レギュラー,30500,8,258~595,4800×1750×1855
391,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,SPADA,HONDA SENSING,13.1,レギュラー,30500,7,258~595,4830×1750×1840
392,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,SPADA,HONDA SENSING,13.1,レギュラー,30500,8,258~595,4830×1750×1840
393,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,SPADA,HONDA SENSING,12.5,レギュラー,30500,7,258~595,4830×1750×1855
394,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,SPADA,HONDA SENSING,12.5,レギュラー,30500,8,258~595,4830×1750×1855
395,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,PREMIUM LINE,HONDA SENSING,12.8,レギュラー,30500,7,258~595,4830×1750×1845
396,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,PREMIUM LINE,HONDA SENSING,12,レギュラー,30500,7,258~595,4830×1750×1855
397,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,スロープ SPADA,HONDA SENSING,12.7,レギュラー,30500,7,258~595,4830×1750×1840
398,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,スロープ SPADA,HONDA SENSING,11.9,レギュラー,30500,7,258~595,4830×1750×1855
399,HONDA,STEPWGN,普通車,ミニバン,2WD,3348400~4406600,1496,2025_05,リフトアップシート SPADA,HONDA SENSING,12.8,レギュラー,30500,7,258~595,4830×1750×1845
400,HONDA,STEPWGN,普通車,ミニバン,4WD,3348400~4406600,1496,2025_05,リフトアップシート SPADA,HONDA SENSING,12,レギュラー,30500,7,258~595,4830×1750×1855
401,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,e:HEV X,HONDA SENSING,26,レギュラー (HEV),30500,5,192~529,4340×1790×1580
402,HONDA,VEZEL,普通車,SUV,4WD,2758800~3968800,1496,2025_10,e:HEV X,HONDA SENSING,21.5,レギュラー (HEV),30500,5,192~529,4340×1790×1590
403,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,e:HEV X HuNTパッケージ,HONDA SENSING,25.3,レギュラー (HEV),30500,5,192~529,4385×1790×1580
404,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,e:HEV Z,HONDA SENSING,25.3,レギュラー (HEV),30500,5,192~529,4340×1790×1580
405,HONDA,VEZEL,普通車,SUV,4WD,2758800~3968800,1496,2025_10,e:HEV Z,HONDA SENSING,21.3,レギュラー (HEV),30500,5,192~529,4340×1790×1590
406,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,e:HEV Z PLaYパッケージ,HONDA SENSING,25.4,レギュラー (HEV),30500,5,192~529,4385×1790×1580
407,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,e:HEV RS,HONDA SENSING,25.4,レギュラー (HEV),30500,5,192~529,4340×1790×1580
408,HONDA,VEZEL,普通車,SUV,4WD,2758800~3968800,1496,2025_10,e:HEV RS,HONDA SENSING,21.4,レギュラー (HEV),30500,5,192~529,4340×1790×1590
409,HONDA,VEZEL,普通車,SUV,2WD,2758800~3968800,1496,2025_10,G,HONDA SENSING,15,レギュラー,30500,5,192~529,4340×1790×1545
410,HONDA,VEZEL,普通車,SUV,4WD,2758800~3968800,1496,2025_10,G,HONDA SENSING,15,レギュラー,30500,5,192~529,4340×1790×1590
411,HONDA,WR-V,普通車,SUV,2WD,2149400~2580600,1496,2024_03,X,HONDA SENSING,16.2,レギュラー,30500,5,189~379,4325×1790×1650
412,HONDA,WR-V,普通車,SUV,2WD,2149400~2580600,1496,2024_03,Z,HONDA SENSING,16.4,レギュラー,30500,5,189~379,4325×1790×1650
413,HONDA,WR-V,普通車,SUV,2WD,2149400~2580600,1496,2024_03,Z+,HONDA SENSING,16.4,レギュラー,30500,5,189~379,4325×1790×1650
414,HONDA,WR-V,普通車,SUV,2WD,2149400~2580600,1496,2024_03,X 特別仕様車 BLACK STYLE,HONDA SENSING,16.2,レギュラー,30500,5,189~379,4325×1790×1650
415,HONDA,WR-V,普通車,SUV,2WD,2149400~2580600,1496,2024_03,Z 特別仕様車 BLACK STYLE,HONDA SENSING,16.4,レギュラー,30500,5,189~379,4325×1790×1650
416,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1993,2025_05,e:HEV X,HONDA SENSING,22.1,レギュラー (HEV),36000,5,254~465,4570×1840×1620
417,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1993,2025_05,e:HEV X,HONDA SENSING,21.7,レギュラー (HEV),36000,5,254~465,4570×1840×1620
418,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1993,2025_05,e:HEV Z,HONDA SENSING,22,レギュラー (HEV),36000,5,254~465,4570×1840×1620
419,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1993,2025_05,e:HEV Z,HONDA SENSING,21.5,レギュラー (HEV),36000,5,254~465,4570×1840×1620
420,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1993,2025_05,e:HEV Z 特別仕様車 BLACK STYLE,HONDA SENSING,22,レギュラー (HEV),36000,5,254~465,4570×1840×1620
421,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1993,2025_05,e:HEV Z 特別仕様車 BLACK STYLE,HONDA SENSING,21.5,レギュラー (HEV),36000,5,254~465,4570×1840×1620
422,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1496,2025_05,X,HONDA SENSING,14.6,レギュラー,30500,5,254~465,4570×1840×1620
423,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1496,2025_05,X,HONDA SENSING,13.9,レギュラー,30500,5,254~465,4570×1840×1620
424,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1496,2025_05,Z,HONDA SENSING,14.5,レギュラー,30500,5,254~465,4570×1840×1620
425,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1496,2025_05,Z,HONDA SENSING,13.9,レギュラー,30500,5,254~465,4570×1840×1620
426,HONDA,ZR-V,普通車,SUV,2WD,3284600~4582600,1496,2025_05,Z 特別仕様車 BLACK STYLE,HONDA SENSING,14.5,レギュラー,30500,5,254~465,4570×1840×1620
427,HONDA,ZR-V,普通車,SUV,4WD,3284600~4582600,1496,2025_05,Z 特別仕様車 BLACK STYLE,HONDA SENSING,13.9,レギュラー,30500,5,254~465,4570×1840×1620
428,NISSAN,スカイライン,普通車,セダン,2WD,5442800~6935500,2997,2025_06,400R,サポカーS・ワイド,10,ハイオク,50000,5,54~1119,4810×1820×1440
429,NISSAN,スカイライン,普通車,セダン,2WD,5442800~6935500,2997,2025_07,GT Type SP,サポカーS・ワイド,10,ハイオク,50000,5,54~1119,4810×1820×1440
430,NISSAN,スカイライン,普通車,セダン,2WD,5442800~6935500,2997,2025_08,GT Type P,サポカーS・ワイド,10,ハイオク,50000,5,54~1119,4810×1820×1440
431,NISSAN,スカイライン,普通車,セダン,2WD,5442800~6935500,2997,2025_09,400R Limited,サポカーS・ワイド,10,ハイオク,50000,5,54~1119,4810×1820×1440
432,NISSAN,アリア,普通車,SUV,2WD,6590100~7382100,-,2025_10,B6,360°セーフティアシスト,166,電気 (BEV),25000,5,325~965,4595×1850×1655
433,NISSAN,アリア,普通車,SUV,4WD,6590100~7382100,-,2025_10,B6 e-4ORCE,360°セーフティアシスト,169,電気 (BEV),25000,5,325~965,4595×1850×1655
434,NISSAN,アリア,普通車,SUV,2WD,6590100~7382100,-,2025_10,B9,360°セーフティアシスト,169,電気 (BEV),25000,5,325~965,4595×1850×1655
